AGNO,MES,VENTAS,INDICADOR
2004,ENERO ,0.188013935,0.039131779
2004,FEBRERO ,0.191399406,0.03940304
2004,MARZO ,0.182029024,0.03892759
2004,ABRIL ,0.195451085,0.038448565
2004,MAYO ,0.180749135,0.038937623
2004,JUNIO ,0.1700463,0.039092554
2004,JULIO ,0.153640133,0.039369721
2004,AGOSTO ,0.123177496,0.041587841
2004,SEPTIEMBRE ,0.122704975,0.044138732
2004,OCTUBRE ,0.123513886,0.049076144
2004,NOVIEMBRE ,0.14015269,0.052911555
2004,DICIEMBRE ,0.177439782,0.057786091
2005,ENERO ,0.170818887,0.061278459
2005,FEBRERO ,0.181146255,0.063434544
2005,MARZO ,0.208699578,0.065308138
2005,ABRIL ,0.220161314,0.06672295
2005,MAYO ,0.255031639,0.067436612
2005,JUNIO ,0.283254678,0.069493175
2005,JULIO ,0.288746604,0.067841294
2005,AGOSTO ,0.311366601,0.066868428
2005,SEPTIEMBRE ,0.318988357,0.065655244
2005,OCTUBRE ,0.326406752,0.061097773
2005,NOVIEMBRE ,0.320492386,0.059009523
2005,DICIEMBRE ,0.28929986,0.056958759
2006,ENERO ,0.276920483,0.054800769
2006,FEBRERO ,0.256513321,0.054658671
2006,MARZO ,0.244263642,0.053504962
2006,ABRIL ,0.238062407,0.052115363
2006,MAYO ,0.196285205,0.051965416
2006,JUNIO ,0.179435457,0.05118508
2006,JULIO ,0.157076273,0.050712022
2006,AGOSTO ,0.145444465,0.048694601
2006,SEPTIEMBRE ,0.14083008,0.04831359
2006,OCTUBRE ,0.123952864,0.050393831
2006,NOVIEMBRE ,0.121457729,0.050119334
2006,DICIEMBRE ,0.139262974,0.049693572
2007,ENERO ,0.154750261,0.050419572
2007,FEBRERO ,0.170369886,0.049972245
2007,MARZO ,0.177838576,0.051670832
2007,ABRIL ,0.178386532,0.05243248
2007,MAYO ,0.209395278,0.051889228
2007,JUNIO ,0.240098223,0.051096557
2007,JULIO ,0.269027201,0.051608856
2007,AGOSTO ,0.285586637,0.052468531
2007,SEPTIEMBRE ,0.290322821,0.051920436
2007,OCTUBRE ,0.309442489,0.049453911
2007,NOVIEMBRE ,0.32098382,0.049139287
2007,DICIEMBRE ,0.314151567,0.04788368
2008,ENERO ,0.30664425,0.046995763
2008,FEBRERO ,0.290232,0.046545933
2008,MARZO ,0.269863692,0.043822431
2008,ABRIL ,0.257738508,0.041161284
2008,MAYO ,0.260052981,0.039359564
2008,JUNIO ,0.213881903,0.038961938
2008,JULIO ,0.191086091,0.038487387
2008,AGOSTO ,0.179975532,0.03724199
2008,SEPTIEMBRE ,0.162504313,0.035546404
2008,OCTUBRE ,0.145643236,0.035776312
2008,NOVIEMBRE ,0.133598696,0.031680129
2008,DICIEMBRE ,0.106428552,0.028903184
2009,ENERO ,0.103390274,0.023985072
2009,FEBRERO ,0.1026938,0.017373129
2009,MARZO ,0.097577742,0.011892973
2009,ABRIL ,0.08148985,0.007589494
2009,MAYO ,0.063153862,0.002711241
2009,JUNIO ,0.080507228,-0.004010439
2009,JULIO ,0.085129718,-0.009807091
2009,AGOSTO,0.075907939,-0.011956236
2009,SEPTIEMBRE ,0.073405889,-0.014104925
2009,OCTUBRE ,0.077591698,-0.017630302
2009,NOVIEMBRE ,0.062492371,-0.015978295
2009,DICIEMBRE ,0.059748925,-0.015170038
2010,ENERO ,0.051080595,-0.011511424
2010,FEBRERO ,0.045333503,-0.005580422
2010,MARZO ,0.052334387,-0.00319214
2010,ABRIL ,0.082080733,0.003994167
2010,MAYO ,0.086197629,0.011330783
2010,JUNIO ,0.072018,0.020109983
2010,JULIO ,0.076143903,0.028914421
2010,AGOSTO,0.071798509,0.035144215
2010,SEPTIEMBRE ,0.081746261,0.041389881
2010,OCTUBRE ,0.082967359,0.047903438
2010,NOVIEMBRE ,0.101816247,0.053674489
2010,DICIEMBRE ,0.130351414,0.058554613
2011,ENERO ,0.142810385,0.06220473
2011,FEBRERO ,0.16028514,0.063765479
2011,MARZO ,0.186487056,0.073852298
2011,ABRIL ,0.193518932,0.074158537
2011,MAYO ,0.187654338,0.07528666
2011,JUNIO ,0.214455459,0.074536104
2011,JULIO ,0.221430811,0.071311311
2011,AGOSTO,0.238804653,0.068502771
2011,SEPTIEMBRE ,0.248934118,0.066069813
2011,OCTUBRE ,0.259977016,0.064599861
2011,NOVIEMBRE ,0.26527235,0.060983818
2011,DICIEMBRE ,0.278798739,0.060217149
2012,ENERO ,0.282799591,0.058247918
2012,FEBRERO ,0.281670645,0.058235674
2012,MARZO ,0.260889132,0.052885887
2012,ABRIL ,0.254219534,0.051744383
2012,MAYO ,0.270314073,0.049843963
2012,JUNIO ,0.264220443,0.049901395
2012,JULIO ,0.253159851,0.051834506
2012,AGOSTO,0.249284568,0.053396921
2012,SEPTIEMBRE ,0.23607904,0.053971196
2012,OCTUBRE ,0.210589944,0.054503391
2012,NOVIEMBRE ,0.20181013,0.055816034
2012,DICIEMBRE ,0.170005858,0.054126521
2013,ENERO ,0.153070545,0.054504578
2013,FEBRERO ,0.139015498,0.052866487
2013,MARZO ,0.143578229,0.05172818
2013,ABRIL ,0.127379458,0.050611439
2013,MAYO ,0.126062553,0.049784496
2013,JUNIO ,0.11339787,0.048648277
2013,JULIO ,0.11572859,0.047639465
2013,AGOSTO,0.112214677,0.04610722
2013,SEPTIEMBRE ,0.113571634,0.045869692
2013,OCTUBRE ,0.134663587,0.044396442
2013,NOVIEMBRE ,0.131017939,0.042479148
2013,DICIEMBRE ,0.138710956,0.041194145
2014,ENERO ,0.148836998,0.038051805
2014,FEBRERO ,0.155907756,0.037453551
2014,MARZO ,0.151195902,0.036647045
2014,ABRIL ,0.155945984,0.035251658
2014,MAYO ,0.149985501,0.033954644
2014,JUNIO ,0.160410281,0.03110349
2014,JULIO ,0.155897238,0.027497123
2014,AGOSTO,0.162552131,0.024710028
2014,SEPTIEMBRE ,0.159936557,0.022413171
2014,OCTUBRE ,0.154609534,0.020716482
2014,NOVIEMBRE ,0.162260538,0.01900329
2014,DICIEMBRE ,0.17010082,0.0187093
2015,ENERO ,0.168604825,0.019758777
2015,FEBRERO ,0.165980272,0.018458645
2015,MARZO ,0.149013916,0.017298083
2015,ABRIL ,0.1276735,0.017539017
2015,MAYO ,0.113525103,0.016807118
2015,JUNIO ,0.09267507,0.018215056
2015,JULIO ,0.083499165,0.020062921
2015,AGOSTO,0.078443536,0.020818378
2015,SEPTIEMBRE ,0.071190786,0.02179301
2015,OCTUBRE ,0.05705593,0.021829188
2015,NOVIEMBRE ,0.044413844,0.022353252
2015,DICIEMBRE ,0.020981482,0.022099975
2016,ENERO ,0.013376371,0.02073899
2016,FEBRERO ,0.009818779,0.021456798
2016,MARZO ,0.011482899,0.022252584
2016,ABRIL ,0.048799567,0.02108765
2016,MAYO ,0.043076551,0.021328974
2016,JUNIO ,0.052330807,0.020191
2016,JULIO ,0.067990149,0.018794295
2016,AGOSTO,0.045876347,0.019417996
2016,SEPTIEMBRE ,0.055763358,0.018102348
2016,OCTUBRE ,0.061478337,0.017117044
2016,NOVIEMBRE ,0.062711726,0.01646712
2016,DICIEMBRE ,0.0634325,0.015281341
2017,ENERO ,0.068916306,0.015411245
2017,FEBRERO ,0.061431306,0.012954197
2017,MARZO ,0.067861976,0.010518879
2017,ABRIL ,0.0267879,0.010726386
